title,release_date,target_audience,length,rating,synopsis,genres,staring,original_language,original_country,original_title
La vie est belle,"October 21, 1998 (France)",Tous publics,1h 56m,8.6,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.","Comedy,Drama,Romance","Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,Sergio Bini Bustric,Marisa Paredes,Horst Buchholz,Lidia Alfonsi,Giuliana Lojodice,Amerigo Fontani,Pietro De Silva,Francesco Guzzo,Raffaella Lebboroni,Claudio Alfonsi,Gil Baroni,Massimo Bianchi,Jürgen Bohn,Verena Buratti",Italian,Italy,Original title: La vita è bella
Les Évadés,"March 1, 1995 (France)",Tous publics,2h 22m,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Drama,"Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Clancy Brown,Gil Bellows,Mark Rolston,James Whitmore,Jeffrey DeMunn,Larry Brandenburg,Neil Giuntoli,Brian Libby,David Proval,Joseph Ragno,Jude Ciccolella,Paul McCrane,Renee Blaine,Scott Mann",English,United States,Original title: The Shawshank Redemption
Le Silence des agneaux,"April 10, 1991 (France)",16,1h 58m,8.6,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Crime,Drama,Thriller","Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons,Lawrence T. Wrentz,Scott Glenn,Anthony Heald,Frankie Faison,Don Brockett,Frank Seals Jr.,Stuart Rudin,Maria Skorobogatov,Jeffrie Lane,Leib Lensky,George 'Red' Schwartz,Jim Roche,Brooke Smith,Ted Levine",English,United States,Original title: The Silence of the Lambs
Les 7 Samouraïs,"November 30, 1955 (France)",Tous publics,3h 27m,8.6,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,"Action,Adventure,Drama","Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,Kamatari Fujiwara,Daisuke Katô,Isao Kimura,Minoru Chiaki,Seiji Miyaguchi,Yoshio Kosugi,Bokuzen Hidari,Yoshio Inaba,Yoshio Tsuchiya,Kokuten Kôdô,Eijirô Tôno,Kichijirô Ueda,Jun Tatara,Atsushi Watanabe",Japanese,Japan,Original title: Shichinin no samurai
Vol au-dessus d'un nid de coucou,"March 1, 1976 (France)",Tous publics avec avertissement,2h 13m,8.7,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",Drama,"Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco,Dean R. Brooks,Alonzo Brown,Scatman Crothers,Mwako Cumbuka,Danny DeVito,William Duell,Josip Elic,Lan Fendors,Nathan George,Ken Kenny,Mel Lambert,Sydney Lassick,Kay Lee,Christopher Lloyd",English,United States,Original title: One Flew Over the Cuckoo's Nest
Seven,"January 31, 1996 (France)",12,2h 7m,8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Crime,Drama,Mystery","Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,Daniel Zacapa,Gwyneth Paltrow,John Cassini,Bob Mack,Peter Crombie,Reg E. Cathey,R. Lee Ermey,George Christy,Endre Hules,Hawthorne James,William Davidson,Bob Collins,Jimmy Dale Hartsell,Richard Roundtree",English,United States,Original title: Se7en
La vie est belle,"July 28, 1948 (France)",Tous publics,2h 10m,8.6,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"Drama,Family,Fantasy","James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,Henry Travers,Beulah Bondi,Frank Faylen,Ward Bond,Gloria Grahame,H.B. Warner,Frank Albertson,Todd Karns,Samuel S. Hinds,Mary Treen,Virginia Patton,Charles Williams,Sarah Edwards,William Edmunds",English,United States,Original title: It's a Wonderful Life
La Cité de Dieu,"March 12, 2003 (France)",16,2h 10m,8.6,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Crime,Drama","Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,Phellipe Haagensen,Douglas Silva,Jonathan Haagensen,Seu Jorge,Jefechander Suplino,Alice Braga,Emerson Gomes,Edson Oliveira,Michel Gomes,Roberta Rodrigues,Luis Otávio,Kiko Marques,Gustavo Engrácia,Darlan Cunha,Robson Rocha",Portuguese,Brazil,Original title: Cidade de Deus
Les affranchis,"September 12, 1990 (France)",16,2h 26m,8.7,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","Biography,Crime,Drama","Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,Paul Sorvino,Frank Sivero,Tony Darrow,Mike Starr,Frank Vincent,Chuck Low,Frank DiLeo,Henny Youngman,Gina Mastrogiacomo,Catherine Scorsese,Charles Scorsese,Suzanne Shepherd,Debi Mazar,Margo Winkler",English,United States,Original title: Goodfellas
Matrix,"June 23, 1999 (France)",Tous publics avec avertissement,2h 16m,8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Action,Sci-Fi","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,Gloria Foster,Joe Pantoliano,Marcus Chong,Julian Arahanga,Matt Doran,Belinda McClory,Anthony Ray Parker,Paul Goddard,Robert Taylor,David Aston,Marc Aden Gray,Ada Nicodemou,Deni Gordon,Rowan Witt",English,United States,Original title: The Matrix
Le Seigneur des anneaux : Les Deux Tours,"December 18, 2002 (France)",Tous publics,2h 59m,8.7,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Action,Adventure,Drama","Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,Bruce Allpress,Sean Astin,John Bach,Sala Baker,Cate Blanchett,Billy Boyd,Jed Brophy,Sam Comery,Brad Dourif,Calum Gittins,Bernard Hill,Bruce Hopkins,Paris Howe Strewe,Christopher Lee",English,New Zealand,Original title: The Lord of the Rings: The Two Towers
Inception,"July 21, 2010 (France)",Tous publics,2h 28m,8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","Action,Adventure,Sci-Fi","Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,Tom Hardy,Dileep Rao,Cillian Murphy,Tom Berenger,Marion Cotillard,Pete Postlethwaite,Michael Caine,Lukas Haas,Tai-Li Lee,Claire Geare,Magnus Nolan,Taylor Geare,Johnathan Geare,Tohoru Masamune",English,United Kingdom,
Forrest Gump,"October 5, 1994 (France)",Tous publics,2h 22m,8.8,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","Drama,Romance","Tom Hanks,Robin Wright,Gary Sinise,Sally Field,Rebecca Williams,Michael Conner Humphreys,Harold G. Herthum,George Kelly,Bob Penny,John Randall,Sam Anderson,Margo Moorer,Ione M. Telech,Christine Seabrook,John Worsham,Peter Dobson,Siobhan Fallon Hogan,Alexander Zemeckis",English,United States,
Le Seigneur des anneaux : La Communauté de l'anneau,"December 19, 2001 (France)",Tous publics,2h 58m,8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Action,Adventure,Drama","Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,Alan Howard,Noel Appleby,Sean Astin,Sala Baker,Cate Blanchett,Billy Boyd,Marton Csokas,Megan Edwards,Michael Elsworth,Mark Ferguson,Ian Holm,Christopher Lee,Lawrence Makoare,Andy Serkis",English,New Zealand,Original title: The Lord of the Rings: The Fellowship of the Ring
L'Empire contre-attaque,"August 20, 1980 (France)",Tous publics,2h 4m,8.7,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","Action,Adventure,Fantasy","Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Anthony Daniels,David Prowse,Peter Mayhew,Kenny Baker,Frank Oz,Alec Guinness,Jeremy Bulloch,John Hollis,Jack Purvis,Des Webb,Clive Revill,Kenneth Colley,Julian Glover,Michael Sheard",English,United States,Original title: Star Wars: Episode V - The Empire Strikes Back
"Paris, Texas","September 19, 1984 (France)",Tous publics,2h 25m,8.1,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Drama,"Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,Sam Berry,Bernhard Wicki,Aurore Clément,Claresie Mobley,Hunter Carson,Viva,Socorro Valdez,Edward Fayton,Justin Hogg,Tom Farrell,John Lurie,Jeni Vici,Sally Norvell,Sharon Menzel,The Mydolls",English,West Germany,
Soorarai Pottru,"November 11, 2020 (France)",18,2h 33m,9.1,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",Drama,"Suriya,Paresh Rawal,Aparna Balamurali,Gaurav Pareek,Vinodhini Vaidynathan,Urvashi,Prakash Belawadi,Dan Dhanoa,Mohan Babu,Supergood Subramani,Malini Sathappan,Karunas,Kaali Venkat,Achyuth Kumar,Alysha Melani,'Poo' Ram,R.S. Shivaji,Gnanasambandam",Tamil,India,
Fight Club,"November 10, 1999 (France)",16,2h 19m,8.8,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,Drama,"Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,Richmond Arquette,David Andrews,George Maguire,Eugenie Bondurant,Helena Bonham Carter,Christina Cabot,Sydney 'Big Dawg' Colston,Rachel Singer,Christie Cronenweth,Tim DeZarn,Ezra Buzzington,Dierdre Downing-Jackson,Bob Stephenson,Charlie Dell",English,Germany,
